"ComputerName","Status","Name","DisplayName","RequiredServices","StartType","CanPauseAndContinue","CanShutdown","CanStop","ServiceHandle","PSComputerName","RunspaceId","PSShowComputerName"
"WIN10-01","Stopped","NaturalAuthentication","Natural Authentication","RpcSs Schedule ProfSvc","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","NcaSvc","Network Connectivity Assistant","NSI dnscache iphlpsvc BFE","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","NcbService","Network Connection Broker","BrokerInfrastructure RpcSS tcpip","Manual","False","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup","netprofm","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","Netlogon","Netlogon","LanmanWorkstation","Automatic","True","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","Netman","Network Connections","RpcSs nsi","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","netprofm","Network List Service","RpcSs nlasvc","Manual","False","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","NetSetupSvc","Network Setup Service","RpcSs","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service","","Disabled","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","NgcCtnrSvc","Microsoft Passport Container","RpcSs","Manual","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","NgcSvc","Microsoft Passport","RpcSs","Manual","False","False","False",,"localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","NlaSvc","Network Location Awareness","NSI RpcSs Eventlog Dhcp TcpIp","Automatic","False","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Running","nsi","Network Store Interface Service","rpcss nsiproxy","Automatic","False","False","True","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","p2pimsvc","Peer Networking Identity Manager","","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","p2psvc","Peer Networking Grouping","PNRPSvc p2pimsvc","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PcaSvc","Program Compatibility Assistant Service","RpcSs","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PeerDistSvc","BranchCache","http","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","perceptionsimulation","Windows Perception Simulation Service","rpcss","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PerfHost","Performance Counter DLL Host","RPCSS","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","PhoneSvc","Phone Service","RpcSs","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
"WIN10-01","Stopped","pla","Performance Logs & Alerts","RPCSS","Manual","False","False","False","SafeServiceHandle","localhost","2fd87f3e-6cfe-4d0e-9f0a-00a8a83c1be7","False"
