Port,TCP,UDP,Description,Status,Range Type,Plain / Cypher Text
847,TCP,,DHCP Failover protocol,Official,Well-Known,
848,TCP,UDP,Group Domain Of Interpretation (GDOI) protocol,Official,Well-Known,
853,TCP,UDP,DNS over TLS (RFC 7858),Official,Well-Known,
860,TCP,,iSCSI (RFC 3720),Official,Well-Known,
861,TCP,UDP,OWAMP control (RFC 4656),Official,Well-Known,
862,TCP,UDP,TWAMP control (RFC 5357),Official,Well-Known,
873,TCP,,rsync file synchronization protocol,Official,Well-Known,
888,TCP,,"cddbp, CD DataBase (CDDB) protocol (CDDBP)",Unofficial,Well-Known,
888,TCP,,IBM Endpoint Manager Remote Control,Unofficial,Well-Known,
897,TCP,UDP,Brocade SMI-S RPC,Unofficial,Well-Known,
898,TCP,UDP,Brocade SMI-S RPC SSL,Unofficial,Well-Known,
902,TCP,UDP,VMware ESXi,Unofficial,Well-Known,
903,TCP,,VMware ESXi,Unofficial,Well-Known,
914-988,,,Unassigned,Official,Well-Known,
944,,UDP,Network File System Service[citation needed],Unofficial,Well-Known,
953,TCP,,BIND remote name daemon control (RNDC),Unofficial,Well-Known,
981,TCP,,Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software,Unofficial,Well-Known,
987,TCP,,Microsoft Windows SBS SharePoint[citation needed],Unofficial,Well-Known,
989,TCP,UDP,"FTPS Protocol (data), FTP over TLS/SSL",Official,Well-Known,
990,TCP,UDP,"FTPS Protocol (control), FTP over TLS/SSL",Official,Well-Known,
991,TCP,UDP,Netnews Administration System (NAS),Official,Well-Known,
992,TCP,UDP,Telnet protocol over TLS/SSL,Official,Well-Known,
993,TCP,,Internet Message Access Protocol over TLS/SSL (IMAPS),Official,Well-Known,
994,TCP,UDP,Reserved,Official,Well-Known,
994,TCP,UDP,Internet Relay Chat over TLS/SSL (IRCS),Unofficial,Well-Known,
995,TCP,,Post Office Protocol 3 over TLS/SSL (POP3S),Official,Well-Known,
999,TCP,,ScimoreDB Database System,Unofficial,Well-Known,
1010,TCP,,ThinLinc web-based administration interface[self-published source?],Unofficial,Well-Known,
1023,TCP,UDP,Reserved,Official,Well-Known,
1024,,,Reserved,Official,Registered,
1027,TCP,,Reserved,Official,Registered,
1027,,UDP,Native IPv6 behind IPv4-to-IPv4 NAT Customer Premises Equipment (6a44),Official,Registered,
1028,,,Deprecated,Official,Registered,
1029,,,Microsoft DCOM services,Official,Registered,
1058,TCP,UDP,"nim, IBM AIX Network Installation Manager (NIM)",Official,Registered,
1059,TCP,UDP,"nimreg, IBM AIX Network Installation Manager (NIM)",Official,Registered,
1080,TCP,UDP,SOCKS proxy,Official,Registered,
1085,TCP,UDP,WebObjects,Official,Registered,
1098,TCP,UDP,"rmiactivation, Java remote method invocation (RMI) activation",Official,Registered,
1099,TCP,UDP,"rmiregistry, Java remote method invocation (RMI) registry",Official,Registered,
1109,,,Reserved - IANA,Official,Registered,
1109,TCP,,Kerberos Post Office Protocol (KPOP)[citation needed],Unofficial,Registered,
1119,TCP,UDP,"Battle.net chat/game protocol, used by Blizzard's games",Official,Registered,
1167,TCP SCTP,UDP,Cisco IP SLA (Service Assurance Agent),Official,Registered,
1194,TCP,UDP,OpenVPN,Official,Registered,Cypher Text
1198,TCP,UDP,The cajo project Free dynamic transparent distributed computing in Java,Official,Registered,
1214,TCP,UDP,Kazaa,Official,Registered,
1220,TCP,UDP,QuickTime Streaming Server administration,Official,Registered,
1234,TCP,UDP,Infoseek search agent,Official,Registered,
1234,,UDP,VLC media player default port for UDP/RTP stream[citation needed],Unofficial,Registered,
1241,TCP,UDP,Nessus Security Scanner,Official,Registered,
1270,TCP,UDP,Microsoft System Center Operations Manager (SCOM) (formerly Microsoft Operations Manager (MOM)) agent,Official,Registered,
1293,TCP,UDP,Internet Protocol Security (IPSec),Official,Registered,
1311,TCP,UDP,Windows RxMon.exe,Official,Registered,
1311,TCP,,Dell OpenManage HTTPS ,Unofficial,Registered,
1314,?,?,Festival Speech Synthesis System server[self-published source?],Unofficial,Registered,
1337,TCP,,neo4j-shell[citation needed],Unofficial,Registered,
1337,TCP,,WASTE Encrypted File Sharing Program[citation needed],Unofficial,Registered,
1341,TCP,UDP,Qubes (Manufacturing Execution System),Official,Registered,
1344,TCP,UDP,Internet Content Adaptation Protocol,Official,Registered,
1352,TCP,UDP,IBM Lotus Notes/Domino (RPC) protocol,Official,Registered,
1360,TCP,UDP,Mimer SQL,Official,Registered,
1414,TCP,UDP,IBM WebSphere MQ (formerly known as MQSeries),Official,Registered,
1417,TCP,UDP,Timbuktu Service 1 Port,Official,Registered,
1418,TCP,UDP,Timbuktu Service 2 Port,Official,Registered,
1419,TCP,UDP,Timbuktu Service 3 Port,Official,Registered,
1420,TCP,UDP,Timbuktu Service 4 Port,Official,Registered,
1431,TCP,,"Reverse Gossip Transport Protocol (RGTP), used to access a General-purpose Reverse-Ordered Gossip Gathering System (GROGGS) bulletin board, such as that implemented on the Cambridge University's Phoenix system",Official,Registered,
1433,TCP,UDP,Microsoft SQL Server database management system (MSSQL) server,Official,Registered,
1434,TCP,UDP,Microsoft SQL Server database management system (MSSQL) monitor,Official,Registered,
